page,player,position,age,nationality,club_departed,club_departed_country,club_departed_competition,club_joined,club_joined_country,club_joined_competition,transfer_date,market_value,fee
1,Moises Paniagua,Left Winger,18,Bolivia,Always Ready,Bolivia,División Profesional,Wydad AC,Morocco,Botola Pro Inwi,20/01/2026,€1.00m,loan transfer
1,Ben Godfrey,Centre-Back,28,"England, Jamaica",Atalanta,Italy,Serie A,Bröndby IF,Denmark,Superliga,20/01/2026,€5.50m,loan transfer
1,Oğulcan Çağlayan,Right Winger,29,Türkiye,Corum FK,Türkiye,1.Lig,Van Spor FK,Türkiye,1.Lig,20/01/2026,€600k,?
1,Kenneth Mamah,Right Winger,27,Nigeria,Castellón,Spain,LaLiga2,Van Spor FK,Türkiye,1.Lig,20/01/2026,€700k,?
1,Arif Kocaman,Centre-Back,22,Türkiye,Kayserispor,Türkiye,Süper Lig,Sakaryaspor,Türkiye,1.Lig,20/01/2026,€900k,loan transfer
1,Everton Galdino,Right Winger,28,Brazil,FC Tokyo,Japan,,Mirassol-SP,Brazil,Série A,20/01/2026,€1.00m,loan transfer
1,Antonio Perera,Central Midfield,28,Spain,Without Club,,,CD Lugo,Spain,Primera Federación - Gr. I,20/01/2026,€500k,-
1,Justin Bijlow,Goalkeeper,27,Netherlands,Feyenoord,Netherlands,Eredivisie,Genoa,Italy,Serie A,20/01/2026,€4.00m,free transfer
1,Ronaldo Martínez,Centre-Forward,29,Paraguay,Platense,Argentina,Torneo Apertura,CA Talleres,Argentina,Torneo Apertura,20/01/2026,€4.00m,?
1,David Ankeye,Centre-Forward,23,Nigeria,Genoa,Italy,Serie A,Krasava ENY,Cyprus,Cyprus League,20/01/2026,€700k,loan transfer
1,Felipe Carballo,Central Midfield,29,"Uruguay, Italy",Grêmio,Brazil,Série A,Without Club,,,20/01/2026,€4.00m,-
1,Sergio Núñez,Centre-Forward,25,Uruguay,Liverpool FC,Uruguay,Liga AUF Apertura,Barcelona SC,Ecuador,LigaPro Serie A,20/01/2026,€500k,loan transfer
1,Alejo Sarco,Centre-Forward,20,"Argentina, Italy",Leverkusen,Germany,Bundesliga,Mönchengladbach,Germany,Bundesliga,20/01/2026,€2.00m,loan transfer
1,Nathan Mendes,Right-Back,23,Brazil,RB Bragantino,Brazil,Série A,EC Vitória,Brazil,Série A,20/01/2026,€1.00m,loan transfer
1,Tiago Volpi,Goalkeeper,35,Brazil,Grêmio,Brazil,Série A,Without Club,,,20/01/2026,€900k,-
1,Franko Kovacevic,Centre-Forward,26,Croatia,NK Celje,Slovenia,Prva Liga,Ferencváros,Hungary,NB I.,20/01/2026,€1.30m,€3.00m
